1507338868	3.1580849	101.7114375	No type	Petronas Towers Car Park	No name	No name	"addr:city":"Kuala Lumpur","amenity":"parking","fee":"yes","name":"Petronas Towers Car Park","parking":"underground"
1544031334	3.1460388	101.7114279	No type	No name	No name	No name	"entrance":"yes"
1585803967	3.1116118	101.6522812	No type	UMMC Parking Lot	No name	No name	"amenity":"parking","fee":"yes","name":"UMMC Parking Lot","name:ms":"Parking Lot, PPUM","parking":"multi-storey"
1746224299	3.0813991	101.6718158	No type	Giant OUG Plaza	No name	No name	"addr:city":"Kuala Lumpur","addr:place":"Plaza OUG","name":"Giant OUG Plaza","shop":"supermarket"
2358309550	3.0739278	101.6528974	No type	Pasar Sri Sentosa	No name	No name	"name":"Pasar Sri Sentosa","opening_hours":"24/7","shop":"greengrocer"
2825690922	3.1300781	101.6720572	No type	No name	No name	No name	"amenity":"parking_entrance"
3488152897	3.1552233	101.7060024	No type	No name	No name	No name	"entrance":"main"
3807910318	3.154483	101.7101155	No type	No name	No name	No name	"amenity":"parking_entrance"
3846082834	3.153126	101.7199077	No type	No name	No name	No name	"amenity":"parking_entrance"
3870178368	3.1554223	101.7195367	No type	No name	No name	No name	"amenity":"parking_entrance"
3870178388	3.155069	101.709081	No type	No name	No name	No name	"amenity":"parking_entrance"
3908795200	3.1590236	101.7146799	No type	No name	No name	No name	"amenity":"parking_entrance","fee":"yes","parking":"multi-storey"
3919991957	3.2080375	101.6478409	No type	No name	No name	No name	"addr:street":"Jalan Mutiara Vista 1"
4321143289	3.1331724	101.6870108	No type	MPH NU Sentral	No name	No name	"addr:city":"Kuala Lumpur","addr:place":"Nu Sentral","name":"MPH NU Sentral","shop":"books"
4323056144	3.1711565	101.6663005	No type	Publika	No name	No name	"addr:housenumber":"1","addr:postcode":"50480","addr:street":"Jalan Dutamas 1","name":"Publika","shop":"supermarket"
4365955893	3.1458661	101.6889494	No type	No name	No name	No name	"entrance":"yes"
4400815349	3.1548477	101.6930608	No type	No name	No name	No name	"highway":"elevator"
4618219830	3.143637	101.7097903	No type	No name	No name	No name	"amenity":"parking_entrance"
4665202909	3.1378577	101.687392	No type	No name	No name	No name	"entrance":"main"
4706489119	3.1155577	101.6649886	No type	UOA Pantai Parking Lot	No name	No name	"amenity":"parking","name":"UOA Pantai Parking Lot","parking":"underground"
4707456590	3.0496865	101.6457861	No type	Pos Malaysia Bdr Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","alt_name":"Giant Kinrara Post Office","amenity":"post_office","name":"Pos Malaysia Bdr Kinrara"
4707456591	3.049539	101.6457851	No type	PTPTN Bdr Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"PTPTN Bdr Kinrara","office":"government"
4707456592	3.0495122	101.6469713	No type	Maybank Giant Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"bank","atm":"yes","name":"Maybank Giant Kinrara"
4707456593	3.0503624	101.6468763	No type	KFC Giant Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"fast_food","cuisine":"chicken","name":"KFC Giant Kinrara"
4707456594	3.0500025	101.6469799	No type	Pizza Hut Giant Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"restaurant","cuisine":"pizza","name":"Pizza Hut Giant Kinrara"
4707456595	3.0502408	101.6458871	No type	Secret Recipe	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"Secret Recipe","shop":"pastry"
4707456596	3.049724	101.6469751	No type	Subway Giant Kinrara	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"fast_food","cuisine":"sandwich","name":"Subway Giant Kinrara"
4707456598	3.0500775	101.645888	No type	Mr DIY	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"Mr DIY","shop":"doityourself"
4707456599	3.0499014	101.6458437	No type	CIMB ATM	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"atm","name":"CIMB ATM"
4707456600	3.0493338	101.6457838	No type	HongLeong ATM	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"atm","name":"HongLeong ATM"
4707456601	3.04924	101.6469666	No type	Klinik Mediviron	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","amenity":"clinic","name":"Klinik Mediviron"
4707456606	3.0491438	101.6469649	No type	MMF Concept Store	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"MMF Concept Store","shop":"clothes"
4707456608	3.046261	101.6422348	No type	No name	No name	No name	"addr:city":"Puchong","addr:place":"Petronas Bandar Kinrara","amenity":"atm","currency:MYR":"yes","operator":"Maybank"
4707456609	3.0461702	101.6422383	No type	No name	No name	No name	"addr:city":"Puchong","addr:place":"Petronas Bandar Kinrara","amenity":"atm","currency:MYR":"yes","operator":"RHB Bank"
4733564755	3.0460773	101.6422383	No type	A&W	No name	No name	"addr:city":"Puchong","addr:place":"Petronas Bandar Kinrara","amenity":"fast_food","name":"A&W"
4733564770	3.0501329	101.6469822	No type	Guardian	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"Guardian","shop":"chemist"
4733564777	3.0496777	101.6408638	No type	Shell Service Centre	No name	No name	"addr:city":"Puchong","addr:place":"Shell Bandar Kinrara 2","name":"Shell Service Centre","shop":"car_repair"
4736156247	3.1090167	101.6366752	No type	CIMB Bank	CIMB Bank Jaya Shopping	No name	"addr:city":"Petaling Jaya","addr:housenumber":"1st flr 24","addr:place":"Jaya Shopping Centre","addr:postcode":"46200","addr:street":"Jalan 14/14","amenity":"bank","name":"CIMB Bank","name:en":"CIMB Bank Jaya Shopping"
4736156248	3.1093524	101.6370503	No type	TGV Cinemas	TGV Cinemas Jaya Shopping	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","addr:postcode":"46200","addr:street":"Jalan 14/14","amenity":"cinema","name":"TGV Cinemas","name:en":"TGV Cinemas Jaya Shopping"
4736156249	3.1092398	101.6369245	No type	Texas Chicken	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","amenity":"fast_food","name":"Texas Chicken"
4736156250	3.1088034	101.6372214	No type	Toys R Us	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","name":"Toys R Us","shop":"toys"
4736156251	3.1090029	101.6373613	No type	Cold Storage Jaya Shopping	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","addr:postcode":"46200","name":"Cold Storage Jaya Shopping","shop":"supermarket"
4736156252	3.1091423	101.6368155	No type	Baskin-Robbins	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","amenity":"ice_cream","name":"Baskin-Robbins"
4736156253	3.1094716	101.6374539	No type	Chili's	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","amenity":"restaurant","name":"Chili's"
4736156254	3.1089109	101.6365571	No type	Starbucks	Starbucks Jaya Shopping	No name	"addr:city":"Petaling Jaya","addr:place":"Jaya Shopping Centre","addr:postcode":"46200","addr:street":"Jalan 14/14","amenity":"cafe","cuisine":"coffee_shop","name":"Starbucks","name:en":"Starbucks Jaya Shopping"
4736156296	3.1087976	101.6364304	No type	Jaya Shopping Centre Parking Entrance	No name	No name	"addr:city":"Petaling Jaya","addr:place":"Seksyen 14","amenity":"parking_entrance","maxheight":"2","name":"Jaya Shopping Centre Parking Entrance","parking":"underground"
4749101736	3.0489564	101.6463246	No type	Giant	No name	No name	"addr:city":"Puchong","addr:place":"Giant Mall Bandar Kinrara","name":"Giant","shop":"supermarket"
